Words;Count;Frequency
the;9;13%
of;5;7%
a;3;4%
below;2;3%
that;2;3%
in;2;3%
peace;1;1%
from;1;1%
village;1;1%
moment;1;1%
perfect;1;1%
tranquility;1;1%
she;1;1%
felt;1;1%
profound;1;1%
sense;1;1%
carrying;1;1%
reminder;1;1%
even;1;1%
simplest;1;1%
moments;1;1%
can;1;1%
hold;1;1%
greatest;1;1%
beauty;1;1%
purple;1;1%
sun;1;1%
dipped;1;1%
horizon;1;1%
painting;1;1%
sky;1;1%
vibrant;1;1%
shades;1;1%
orange;1;1%
and;1;1%
laughter;1;1%
gentle;1;1%
breeze;1;1%
rustled;1;1%
leaves;1;1%
old;1;1%
oak;1;1%
tree;1;1%
distant;1;1%
sound;1;1%
